exp_title;exp_author;exp_version;alfred_version;element_type;name;label_top;label_left;label_right;label_bottom;force_input;default;placeholder;prefix;suffix;description;tree;page_title;unlinked;n_choices;choice1;choice2;choice3;choice4;choice5;choice6;choice7;ndecimals;decimal_signs;min;max;regex_pattern
MC Accountability;jrollwage;1.1;2.3.2b1;SubmittingButtons;consent;;;;;False;;;;;;_content.ExpSection.InformedConsentPage;Einverständniserklärung;False;2;Ablehnen;Akzeptieren;;;;;;;;;;
MC Accountability;jrollwage;1.1;2.3.2b1;SingleChoiceBar;initialSTAI_S_01;;Ich bin ruhig.;;;False;;;;;;_content.ExpSection.InstructionSection.initial;Bevor es los geht;False;4;überhaupt nicht <br> 1;ein wenig <br> 2;ziemlich <br> 3;sehr <br> 4;;;;;;;;
MC Accountability;jrollwage;1.1;2.3.2b1;SingleChoiceBar;initialSTAI_S_02;;Ich fühle mich geborgen.;;;False;;;;;;_content.ExpSection.InstructionSection.initial;Bevor es los geht;False;4;überhaupt nicht <br> 1;ein wenig <br> 2;ziemlich <br> 3;sehr <br> 4;;;;;;;;
MC Accountability;jrollwage;1.1;2.3.2b1;SingleChoiceBar;initialSTAI_S_03;;Ich fühle mich angespannt.;;;False;;;;;;_content.ExpSection.InstructionSection.initial;Bevor es los geht;False;4;überhaupt nicht <br> 1;ein wenig <br> 2;ziemlich <br> 3;sehr <br> 4;;;;;;;;
MC Accountability;jrollwage;1.1;2.3.2b1;SingleChoiceBar;initialSTAI_S_04;;Ich bin bekümmert.;;;False;;;;;;_content.ExpSection.InstructionSection.initial;Bevor es los geht;False;4;überhaupt nicht <br> 1;ein wenig <br> 2;ziemlich <br> 3;sehr <br> 4;;;;;;;;
MC Accountability;jrollwage;1.1;2.3.2b1;SingleChoiceBar;initialSTAI_S_05;;Ich fühle mich ungezwungen.;;;False;;;;;;_content.ExpSection.InstructionSection.initial;Bevor es los geht;False;4;überhaupt nicht <br> 1;ein wenig <br> 2;ziemlich <br> 3;sehr <br> 4;;;;;;;;
MC Accountability;jrollwage;1.1;2.3.2b1;SingleChoiceBar;initialSTAI_S_06;;Ich bin aufgeregt.;;;False;;;;;;_content.ExpSection.InstructionSection.initial;Bevor es los geht;False;4;überhaupt nicht <br> 1;ein wenig <br> 2;ziemlich <br> 3;sehr <br> 4;;;;;;;;
MC Accountability;jrollwage;1.1;2.3.2b1;SingleChoiceBar;initialSTAI_S_07;;Ich bin besorgt, dass etwas schiefgehen könnte.;;;False;;;;;;_content.ExpSection.InstructionSection.initial;Bevor es los geht;False;4;überhaupt nicht <br> 1;ein wenig <br> 2;ziemlich <br> 3;sehr <br> 4;;;;;;;;
MC Accountability;jrollwage;1.1;2.3.2b1;SingleChoiceBar;initialSTAI_S_08;;Ich fühle mich ausgeruht.;;;False;;;;;;_content.ExpSection.InstructionSection.initial;Bevor es los geht;False;4;überhaupt nicht <br> 1;ein wenig <br> 2;ziemlich <br> 3;sehr <br> 4;;;;;;;;
MC Accountability;jrollwage;1.1;2.3.2b1;SingleChoiceBar;initialSTAI_S_09;;Ich bin beunruhigt.;;;False;;;;;;_content.ExpSection.InstructionSection.initial;Bevor es los geht;False;4;überhaupt nicht <br> 1;ein wenig <br> 2;ziemlich <br> 3;sehr <br> 4;;;;;;;;
MC Accountability;jrollwage;1.1;2.3.2b1;SingleChoiceBar;initialSTAI_S_10;;Ich fühle mich wohl.;;;False;;;;;;_content.ExpSection.InstructionSection.initial;Bevor es los geht;False;4;überhaupt nicht <br> 1;ein wenig <br> 2;ziemlich <br> 3;sehr <br> 4;;;;;;;;
MC Accountability;jrollwage;1.1;2.3.2b1;SingleChoiceBar;initialSTAI_S_11;;Ich fühle mich selbstsicher.;;;False;;;;;;_content.ExpSection.InstructionSection.initial;Bevor es los geht;False;4;überhaupt nicht <br> 1;ein wenig <br> 2;ziemlich <br> 3;sehr <br> 4;;;;;;;;
MC Accountability;jrollwage;1.1;2.3.2b1;SingleChoiceBar;initialSTAI_S_12;;Ich bin nervös.;;;False;;;;;;_content.ExpSection.InstructionSection.initial;Bevor es los geht;False;4;überhaupt nicht <br> 1;ein wenig <br> 2;ziemlich <br> 3;sehr <br> 4;;;;;;;;
MC Accountability;jrollwage;1.1;2.3.2b1;SingleChoiceBar;initialSTAI_S_13;;Ich bin zappelig.;;;False;;;;;;_content.ExpSection.InstructionSection.initial;Bevor es los geht;False;4;überhaupt nicht <br> 1;ein wenig <br> 2;ziemlich <br> 3;sehr <br> 4;;;;;;;;
MC Accountability;jrollwage;1.1;2.3.2b1;SingleChoiceBar;initialSTAI_S_14;;Ich bin verkrampft.;;;False;;;;;;_content.ExpSection.InstructionSection.initial;Bevor es los geht;False;4;überhaupt nicht <br> 1;ein wenig <br> 2;ziemlich <br> 3;sehr <br> 4;;;;;;;;
MC Accountability;jrollwage;1.1;2.3.2b1;SingleChoiceBar;initialSTAI_S_15;;Ich bin entspannt.;;;False;;;;;;_content.ExpSection.InstructionSection.initial;Bevor es los geht;False;4;überhaupt nicht <br> 1;ein wenig <br> 2;ziemlich <br> 3;sehr <br> 4;;;;;;;;
MC Accountability;jrollwage;1.1;2.3.2b1;SingleChoiceBar;initialSTAI_S_16;;Ich bin zufrieden.;;;False;;;;;;_content.ExpSection.InstructionSection.initial;Bevor es los geht;False;4;überhaupt nicht <br> 1;ein wenig <br> 2;ziemlich <br> 3;sehr <br> 4;;;;;;;;
