exp_author;exp_title;exp_version;exp_start_time;exp_start_timestamp;exp_save_time;exp_finished;exp_aborted;exp_aborted_because;exp_session;exp_condition;exp_id;exp_session_id;exp_plugin_queries;exp_session_timeout;alfred_version;type;client_javascript_active;client_os_name;client_referrer;client_resolution_inner;client_os_version;client_device_manufacturer;client_resolution_screen;client_device_type;client_browser;client_os_family;client_device_family;MC_OA_1;MC_OA_2;MC_OA_3;MC_OA_4;MC_PA_1;MC_PA_2;MC_PA_3;MC_PA_4;ac1;ac2;ac3;acc_post;acc_pre;additional_data_payout;ae_0;ae_1;ae_10;ae_11;ae_12;ae_13;ae_14;ae_15;ae_16;ae_17;ae_18;ae_19;ae_2;ae_20;ae_21;ae_22;ae_23;ae_24;ae_25;ae_26;ae_27;ae_28;ae_29;ae_3;ae_30;ae_31;ae_32;ae_33;ae_34;ae_35;ae_36;ae_37;ae_38;ae_39;ae_4;ae_5;ae_6;ae_7;ae_8;ae_9;age;anxious;anxious_post;ape_0;ape_1;ape_10;ape_11;ape_12;ape_2;ape_3;ape_4;ape_5;ape_6;ape_7;ape_8;ape_9;comments;consent;course_of_studies;description_trial_0_block0;description_trial_0_block1;description_trial_0_block2;description_trial_0_block3;description_trial_0_block4;description_trial_1;description_trial_10;description_trial_11;description_trial_12;description_trial_13;description_trial_14;description_trial_15;description_trial_1_block0;description_trial_1_block1;description_trial_1_block2;description_trial_1_block3;description_trial_1_block4;description_trial_2;description_trial_2_block0;description_trial_2_block1;description_trial_2_block2;description_trial_2_block3;description_trial_2_block4;description_trial_3;description_trial_3_block0;description_trial_3_block1;description_trial_3_block2;description_trial_3_block3;description_trial_3_block4;description_trial_4;description_trial_4_block0;description_trial_4_block1;description_trial_4_block2;description_trial_4_block3;description_trial_4_block4;description_trial_5;description_trial_5_block0;description_trial_5_block1;description_trial_5_block2;description_trial_5_block3;description_trial_5_block4;description_trial_6;description_trial_6_block0;description_trial_6_block1;description_trial_6_block2;description_trial_6_block3;description_trial_6_block4;description_trial_7;description_trial_7_block0;description_trial_7_block1;description_trial_7_block2;description_trial_7_block3;description_trial_7_block4;description_trial_8;description_trial_9;epistemic_motivation1;epistemic_motivation10;epistemic_motivation2;epistemic_motivation3;epistemic_motivation4;epistemic_motivation5;epistemic_motivation6;epistemic_motivation7;epistemic_motivation8;epistemic_motivation9;estimation_1;estimation_10;estimation_11;estimation_12;estimation_13;estimation_14;estimation_15;estimation_2;estimation_3;estimation_4;estimation_5;estimation_6;estimation_7;estimation_8;estimation_9;estimation_block_1_trial_1;estimation_block_1_trial_2;estimation_block_1_trial_3;estimation_block_1_trial_4;estimation_block_1_trial_5;estimation_block_1_trial_6;estimation_block_1_trial_7;estimation_block_1_trial_8;estimation_block_2_trial_1;estimation_block_2_trial_2;estimation_block_2_trial_3;estimation_block_2_trial_4;estimation_block_2_trial_5;estimation_block_2_trial_6;estimation_block_2_trial_7;estimation_block_2_trial_8;estimation_block_3_trial_1;estimation_block_3_trial_2;estimation_block_3_trial_3;estimation_block_3_trial_4;estimation_block_3_trial_5;estimation_block_3_trial_6;estimation_block_3_trial_7;estimation_block_3_trial_8;estimation_block_4_trial_1;estimation_block_4_trial_2;estimation_block_4_trial_3;estimation_block_4_trial_4;estimation_block_4_trial_5;estimation_block_4_trial_6;estimation_block_4_trial_7;estimation_block_4_trial_8;estimation_block_5_trial_1;estimation_block_5_trial_2;estimation_block_5_trial_3;estimation_block_5_trial_4;estimation_block_5_trial_5;estimation_block_5_trial_6;estimation_block_5_trial_7;estimation_block_5_trial_8;finalSTAI_S_01;finalSTAI_S_02;finalSTAI_S_03;finalSTAI_S_04;finalSTAI_S_05;finalSTAI_S_06;finalSTAI_S_07;finalSTAI_S_08;finalSTAI_S_09;finalSTAI_S_10;finalSTAI_S_11;finalSTAI_S_12;finalSTAI_S_13;finalSTAI_S_14;finalSTAI_S_15;finalSTAI_S_16;finalSTAI_S_17;finalSTAI_S_18;finalSTAI_S_19;finalSTAI_S_20;fq_srsi;gender;initialSTAI_S_01;initialSTAI_S_02;initialSTAI_S_03;initialSTAI_S_04;initialSTAI_S_05;initialSTAI_S_06;initialSTAI_S_07;initialSTAI_S_08;initialSTAI_S_09;initialSTAI_S_10;initialSTAI_S_11;initialSTAI_S_12;initialSTAI_S_13;initialSTAI_S_14;initialSTAI_S_15;initialSTAI_S_16;initialSTAI_S_17;initialSTAI_S_18;initialSTAI_S_19;initialSTAI_S_20;insecure;insecure_post;interview_post;interview_pre;justify;mean_ae;mean_ape;nervous;nervous_post;screener_trial1;screener_trial10;screener_trial11;screener_trial12;screener_trial13;screener_trial14;screener_trial15;screener_trial2;screener_trial3;screener_trial4;screener_trial5;screener_trial6;screener_trial7;screener_trial8;screener_trial9;session_status;srsi;stressed;stressed_post;suspicion;suspicion_open;systematic_information_processing1;systematic_information_processing2;systematic_information_processing3;task_trial_1;task_trial_10;task_trial_11;task_trial_12;task_trial_13;task_trial_14;task_trial_15;task_trial_1_block1;task_trial_1_block2;task_trial_1_block3;task_trial_1_block4;task_trial_1_block5;task_trial_2;task_trial_2_block1;task_trial_2_block2;task_trial_2_block3;task_trial_2_block4;task_trial_2_block5;task_trial_3;task_trial_3_block1;task_trial_3_block2;task_trial_3_block3;task_trial_3_block4;task_trial_3_block5;task_trial_4;task_trial_4_block1;task_trial_4_block2;task_trial_4_block3;task_trial_4_block4;task_trial_4_block5;task_trial_5;task_trial_5_block1;task_trial_5_block2;task_trial_5_block3;task_trial_5_block4;task_trial_5_block5;task_trial_6;task_trial_6_block1;task_trial_6_block2;task_trial_6_block3;task_trial_6_block4;task_trial_6_block5;task_trial_7;task_trial_7_block1;task_trial_7_block2;task_trial_7_block3;task_trial_7_block4;task_trial_7_block5;task_trial_8;task_trial_8_block1;task_trial_8_block2;task_trial_8_block3;task_trial_8_block4;task_trial_8_block5;task_trial_9;true_value_1;true_value_10;true_value_11;true_value_12;true_value_13;true_value_14;true_value_15;true_value_2;true_value_3;true_value_4;true_value_5;true_value_6;true_value_7;true_value_8;true_value_9;true_value_block_1_trial_1;true_value_block_1_trial_2;true_value_block_1_trial_3;true_value_block_1_trial_4;true_value_block_1_trial_5;true_value_block_1_trial_6;true_value_block_1_trial_7;true_value_block_1_trial_8;true_value_block_2_trial_1;true_value_block_2_trial_2;true_value_block_2_trial_3;true_value_block_2_trial_4;true_value_block_2_trial_5;true_value_block_2_trial_6;true_value_block_2_trial_7;true_value_block_2_trial_8;true_value_block_3_trial_1;true_value_block_3_trial_2;true_value_block_3_trial_3;true_value_block_3_trial_4;true_value_block_3_trial_5;true_value_block_3_trial_6;true_value_block_3_trial_7;true_value_block_3_trial_8;true_value_block_4_trial_1;true_value_block_4_trial_2;true_value_block_4_trial_3;true_value_block_4_trial_4;true_value_block_4_trial_5;true_value_block_4_trial_6;true_value_block_4_trial_7;true_value_block_4_trial_8;true_value_block_5_trial_1;true_value_block_5_trial_2;true_value_block_5_trial_3;true_value_block_5_trial_4;true_value_block_5_trial_5;true_value_block_5_trial_6;true_value_block_5_trial_7;true_value_block_5_trial_8
jrollwage;MC Accountability;0.1;;;1641829935.6921885;False;True;quota_error;;;test1234;sid-ba176ba1ff634f7f92bc51ff41d1f050;;86400;2.3.2b1;exp_data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jrollwage;MC Accountability;0.1;;;1641829943.1772892;False;True;quota_error;;;test1234;sid-e2c6d72b8f454fdfa2fd60bd03736b6f;;86400;2.3.2b1;exp_data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jrollwage;MC Accountability;0.1;;;1641829954.2108865;False;True;quota_error;;;test1234;sid-16147511ef2b41b9beabf2771b2a6509;;86400;2.3.2b1;exp_data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jrollwage;MC Accountability;0.11;1641829977.6574266;2022-01-10_16:52:57;1641830071.784727;False;True;error;;control;test1234;sid-a7ff0df84d944ab6ac092b8a1285a53c;;86400;2.3.2b1;exp_data;true;Windows 10;;2560x1293;;;2560x1440;Desktop;Chrome 97;Windows 10;Other;1;1;1;1;1;1;1;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.0;;;42.071611253196934;;;;;;;;;;;;;;2;fdsafsadf;;;;;;mask4_1;mask2_10;mask2_11;mask1_12;mask2_13;mask3_14;mask5_15;;;;;;mask6_2;;;;;;mask5_3;;;;;;mask4_4;;;;;;mask1_5;;;;;;mask3_6;;;;;;mask6_7;;;;;;mask6_8;mask6_9;1;1;1;1;1;1;1;1;1;1;1111.0;1111.0;0.0;1111.0;1111.0;1234.0;1234.0;1212.0;4324.0;0.0;777.0;0.0;1111.0;444.0;4444.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;weiblich;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;1;;42;;;no_screener;no_screener;second_screener;no_screener;no_screener;no_screener;no_screener;no_screener;no_screener;first_screener;no_screener;no_screener;no_screener;no_screener;no_screener;participant registration;;;;;4897;1;1;1;image_1_griechenland;image_10_oesterreich;image_11_aegypten;image_12_kos;image_13_tuerkei;image_14_lanzarote;image_15_thailand;;;;;;image_2_ibiza;;;;;;image_3_malediven;;;;;;image_4_schweden;;;;;;image_5_vereinigte_arabische_emirate;;;;;;image_6_kreta;;;;;;image_7_italien_neapel;;;;;;image_8_madeira;;;;;;image_9_fuerteventura;782;530,18;1047;658;560;818,9;1324;736;1345,28;302,36;637,99;1235,25;498;728,53;894;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jrollwage;MC Accountability;0.11;1641830541.4775953;2022-01-10_17:02:21;1641830629.4435234;False;True;error;;control;test1234;sid-0fe33018152240cea6cd7e67fc92b35c;;86400;2.3.2b1;exp_data;true;Windows 10;;2560x1293;;;2560x1440;Desktop;Chrome 97;Windows 10;Other;1;1;1;1;1;1;1;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.0;;;16.08761329305136;;;;;;;;;;;;;;2;fdsafsadf;;;;;;mask1_1;mask5_10;mask6_11;mask3_12;mask1_13;mask3_14;mask2_15;;;;;;mask6_2;;;;;;mask5_3;;;;;;mask5_4;;;;;;mask2_5;;;;;;mask5_6;;;;;;mask6_7;;;;;;mask5_8;mask6_9;1;1;1;1;1;1;1;1;1;1;1111.0;1111.0;2334.0;1111.0;1111.0;1234.0;1234.0;1212.0;4324.0;1111.0;777.0;1111.0;999.0;1111.0;4444.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;weiblich;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;1;;16;;;no_screener;no_screener;second_screener;no_screener;no_screener;no_screener;no_screener;no_screener;no_screener;first_screener;no_screener;no_screener;no_screener;no_screener;no_screener;participant registration;;;;;dfgh;1;1;1;image_1_thailand;image_10_fuerteventura;image_11_oesterreich;image_12_ibiza;image_13_schweden;image_14_kos;image_15_madeira;;;;;;image_2_griechenland;;;;;;image_3_aegypten;;;;;;image_4_lanzarote;;;;;;image_5_italien_neapel;;;;;;image_6_malediven;;;;;;image_7_kreta;;;;;;image_8_vereinigte_arabische_emirate;;;;;;image_9_tuerkei;1324;894;530,18;736;302,36;658;728,53;782;1047;818,9;498;1345,28;1235,25;637,99;560;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jrollwage;MC Accountability;0.11;1641830828.957462;2022-01-10_17:07:08;1641830913.0967503;False;True;error;;control;test1234;sid-df9c1bf883524179a5603ceb47dcdeee;;86400;2.3.2b1;exp_data;true;Windows 10;;2560x1293;;;2560x1440;Desktop;Chrome 97;Windows 10;Other;1;1;1;1;1;1;1;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.0;;;68.84498480243161;143.3734939759036;;;;;;;;;;;;;2;fdsafsadf;;;;;;mask5_1;mask4_10;mask5_11;mask6_12;mask4_13;mask6_14;mask5_15;;;;;;mask1_2;;;;;;mask4_3;;;;;;mask6_4;;;;;;mask3_5;;;;;;mask4_6;;;;;;mask1_7;;;;;;mask3_8;mask5_9;1;1;1;1;1;1;1;1;1;1;1111.0;1111.0;1111.0;1111.0;1111.0;1234.0;1234.0;1212.0;4324.0;1111.0;777.0;1111.0;999.0;1111.0;4444.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;weiblich;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;1;;69;;;no_screener;second_screener;no_screener;no_screener;no_screener;no_screener;no_screener;no_screener;no_screener;first_screener;no_screener;no_screener;no_screener;no_screener;no_screener;participant registration;;;;;dtghcfjkhlj;1;1;1;image_1_kos;image_10_vereinigte_arabische_emirate;image_11_schweden;image_12_ibiza;image_13_madeira;image_14_tuerkei;image_15_aegypten;;;;;;image_2_italien_neapel;;;;;;image_3_thailand;;;;;;image_4_malediven;;;;;;image_5_griechenland;;;;;;image_6_oesterreich;;;;;;image_7_lanzarote;;;;;;image_8_fuerteventura;;;;;;image_9_kreta;658;637,99;302,36;736;728,53;560;1047;498;1324;1345,28;782;530,18;818,9;894;1235,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jrollwage;MC Accountability;0.11;1641830958.5779357;2022-01-10_17:09:18;1641831067.9078777;True;False;;;control;test1234;sid-a10aca6089914f089a614d30f4d5b570;;86400;2.3.2b1;exp_data;true;Windows 10;;2560x1293;;;2560x1440;Desktop;Chrome 97;Windows 10;Other;1;1;1;1;1;1;1;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.0;;;267.44278343696254;20.714285714285715;35.669800952497255;16.08761329305136;68.84498480243161;10.058692572353776;56.024096385542165;6.112702960840497;11.74496644295302;42.071611253196934;738.2058923384511;217.1195652173913;74.14066051192025;;2;fdsafsadf;;;;;;mask4_1;mask1_10;mask4_11;mask3_12;mask3_13;mask2_14;mask3_15;;;;;;mask5_2;;;;;;mask4_3;;;;;;mask3_4;;;;;;mask4_5;;;;;;mask4_6;;;;;;mask2_7;;;;;;mask3_8;mask1_9;1;1;1;1;1;1;1;1;1;1;1111.0;1111.0;2334.0;1111.0;1111.0;1111.0;1111.0;444.0;4324.0;1111.0;777.0;1111.0;999.0;1111.0;4444.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;7;weiblich;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;1;;120;;;no_screener;second_screener;no_screener;no_screener;no_screener;no_screener;no_screener;no_screener;first_screener;no_screener;no_screener;no_screener;no_screener;no_screener;no_screener;participant registration;;;;;dsfasfsda;1;1;1;image_1_schweden;image_10_malediven;image_11_ibiza;image_12_vereinigte_arabische_emirate;image_13_lanzarote;image_14_thailand;image_15_kos;;;;;;image_2_tuerkei;;;;;;image_3_madeira;;;;;;image_4_kreta;;;;;;image_5_italien_neapel;;;;;;image_6_aegypten;;;;;;image_7_fuerteventura;;;;;;image_8_griechenland;;;;;;image_9_oesterreich;302,36;1345,28;736;637,99;818,9;1324;658;560;728,53;1235,25;498;1047;894;782;530,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jrollwage;MC Accountability;1.1;1642413126.1384487;2022-01-17_10:52:06;1642413219.504977;True;False;;;process_accountability;test1234;sid-bccc0b78ec7641f58e41afeed43926e4;;86400;2.3.2b1;exp_data;true;Windows 10;;1920x933;;;1920x1080;Desktop;Chrome 97;Windows 10;Other;2;2;2;2;2;2;2;2;;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.0;;;109.5514730846128;84.19452887537993;;;;74.14066051192025;24.272930648769574;267.44278343696254;16.08761329305136;35.669800952497255;52.49886758266648;42.071611253196934;;;2;fdsafsadf;;;;;;mask6_1;mask3_10;;;;;;;;;;;mask2_2;;;;;;mask4_3;;;;;;mask2_4;;;;;;mask2_5;;;;;;mask5_6;;;;;;mask2_7;;;;;;mask2_8;mask3_9;2;2;2;2;2;2;2;2;2;2;1111.0;1111.0;;;;;;1212.0;1111.0;1111.0;1111.0;1111.0;1111.0;1111.0;1111.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;weiblich;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;2;2;3;;78;;;no_screener;no_screener;;;;;;no_screener;no_screener;no_screener;no_screener;no_screener;first_screener;no_screener;no_screener;participant registration;;;;gfdssg;;2;2;2;image_1_oesterreich;image_10_griechenland;;;;;;;;;;;image_2_kos;;;;;;image_3_vereinigte_arabische_emirate;;;;;;image_4_fuerteventura;;;;;;image_5_schweden;;;;;;image_6_thailand;;;;;;image_7_malediven;;;;;;image_8_lanzarote;;;;;;image_9_madeira;530,18;782;;;;;;658;637,99;894;302,36;1324;1345,28;818,9;728,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jrollwage;MC Accountability;1.1;1642416459.0940125;2022-01-17_11:47:39;1642416577.8925812;True;False;;;process_accountability;test1234;sid-bc2df37cae034517902d99d101fdb44c;;86400;2.3.2b1;exp_data;true;Windows 10;;1920x933;;;1920x1080;Desktop;Chrome 97;Windows 10;Other;3;3;3;3;3;3;3;3;;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.0;;;45.74944071588367;45.780925631945294;;;;17.41496194100856;14.83375959079284;42.876041804471484;32.287339926958104;39.055358049771456;34.34650455927052;235.64954682779455;;;2;fdsafsadf;;;;;;mask4_1;mask5_10;;;;;;;;;;;mask2_2;;;;;;mask6_3;;;;;;mask5_4;;;;;;mask5_5;;;;;;mask5_6;;;;;;mask5_7;;;;;;mask5_8;mask5_9;2;2;2;2;2;2;2;2;2;2;485.0;4444.0;;;;;;444.0;1111.0;666.0;432.0;432.0;432.0;444.0;432.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;weiblich;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;2;2;3;;56;;;no_screener;no_screener;;;;;;no_screener;no_screener;no_screener;no_screener;no_screener;first_screener;no_screener;no_screener;participant registration;;;;fdsff;;2;2;2;image_1_fuerteventura;image_10_thailand;;;;;;;;;;;image_2_lanzarote;;;;;;image_3_malediven;;;;;;image_4_griechenland;;;;;;image_5_schweden;;;;;;image_6_vereinigte_arabische_emirate;;;;;;image_7_oesterreich;;;;;;image_8_madeira;;;;;;image_9_kos;894;1324;;;;;;818,9;1345,28;782;302,36;637,99;530,18;728,53;658;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jrollwage;Acc_MC_lab_test;1.0;1653377978.8771954;2022-05-24_09:39:38;1653378148.4045477;True;False;;;control;test12345678;sid-4c6ea74093ba4353873d14f87f757853;;86400;2.3.2;exp_data;true;Windows 10;;1920x933;;;1920x1080;Desktop;Chrome 101;Windows 10;Other;2;2;2;2;2;2;2;2;;;;7;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.0;;;34.34650455927052;67.37160120845923;;;;40.70251053491277;44.75703324808184;51.67785234899329;47.24630602027109;32.287339926958104;42.876041804471484;67.88772597526166;;fds;2;fdsa;;;;;;mask1_1;mask6_10;;;;;;;;;;;mask5_2;;;;;;mask2_3;;;;;;mask5_4;;;;;;mask3_5;;;;;;mask6_6;;;;;;mask3_7;;;;;;mask2_8;mask3_9;2;2;2;2;2;2;2;2;2;2;432.0;432.0;;;;;;432.0;432.0;432.0;432.0;432.0;432.0;432.0;432.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;männlich;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;2;;48;;;no_screener;no_screener;;;;;;no_screener;no_screener;no_screener;no_screener;first_screener;no_screener;no_screener;no_screener;participant registration;;;;fds;;2;2;2;image_1_kos;image_10_malediven;;;;;;;;;;;image_2_thailand;;;;;;image_3_madeira;;;;;;image_4_griechenland;;;;;;image_5_fuerteventura;;;;;;image_6_oesterreich;;;;;;image_7_lanzarote;;;;;;image_8_vereinigte_arabische_emirate;;;;;;image_9_schweden;658;1345,28;;;;;;1324;728,53;782;894;530,18;818,9;637,99;302,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
