exp_title;exp_author;exp_version;exp_id;exp_session_id;move_number;tree;page_name;show_time;hide_time;duration;page_status_before_visit;page_status_after_visit;leave_in_direction;previous_page;target_page;section_allows_forward;section_allows_backward;section_allows_jumpfrom;section_allows_jumpto
MC Accountability;jrollwage;0.11;test1234;sid-a7ff0df84d944ab6ac092b8a1285a53c;1;ExpSection.landingpage;landingpage;1641829977.6574266;1641829979.016672;1.3592453002929688;open;open;forward;;InformedConsentPage;True;False;False;False
MC Accountability;jrollwage;0.11;test1234;sid-a7ff0df84d944ab6ac092b8a1285a53c;2;ExpSection.InformedConsentPage;InformedConsentPage;1641829979.016672;1641829980.365404;1.3487319946289062;open;open;forward;landingpage;exp_screening;True;False;False;False
MC Accountability;jrollwage;0.11;test1234;sid-a7ff0df84d944ab6ac092b8a1285a53c;3;ExpSection.exp_screening;exp_screening;1641829980.365404;1641829982.832154;2.466750144958496;open;open;forward;InformedConsentPage;initial;True;False;False;False
MC Accountability;jrollwage;0.11;test1234;sid-a7ff0df84d944ab6ac092b8a1285a53c;4;ExpSection.InstructionSection.initial;initial;1641829983.0523546;1641829992.1491363;9.096781730651855;open;open;forward;exp_screening;instruction1;True;False;False;False
MC Accountability;jrollwage;0.11;test1234;sid-a7ff0df84d944ab6ac092b8a1285a53c;5;ExpSection.InstructionSection.instruction1;instruction1;1641829992.1491363;1641829993.246135;1.096998691558838;open;open;forward;initial;mani_check_pre;True;False;False;False
MC Accountability;jrollwage;0.11;test1234;sid-a7ff0df84d944ab6ac092b8a1285a53c;6;ExpSection.InstructionSection.mani_check_pre;mani_check_pre;1641829993.247136;1641829994.9306679;1.6835317611694336;open;open;forward;instruction1;final_stress;True;False;False;False
MC Accountability;jrollwage;0.11;test1234;sid-a7ff0df84d944ab6ac092b8a1285a53c;7;ExpSection.InstructionSection.final_stress;final_stress;1641829994.9316683;1641830005.2926114;10.360943078994751;open;open;forward;mani_check_pre;task_page_1;True;False;False;False
MC Accountability;jrollwage;0.11;test1234;sid-a7ff0df84d944ab6ac092b8a1285a53c;8;ExpSection.TaskSection.task_page_1;task_page_1;1641830005.294613;1641830008.103168;2.8085551261901855;open;open;forward;final_stress;task_page_2;True;False;False;False
MC Accountability;jrollwage;0.11;test1234;sid-a7ff0df84d944ab6ac092b8a1285a53c;9;ExpSection.TaskSection.task_page_2;task_page_2;1641830008.1051702;1641830010.988802;2.883631706237793;open;open;forward;task_page_1;task_page_3;True;False;False;False
MC Accountability;jrollwage;0.11;test1234;sid-a7ff0df84d944ab6ac092b8a1285a53c;10;ExpSection.TaskSection.task_page_3;task_page_3;1641830010.9918044;1641830012.9635978;1.9717934131622314;open;open;forward;task_page_2;task_page_4;True;False;False;False
MC Accountability;jrollwage;0.11;test1234;sid-a7ff0df84d944ab6ac092b8a1285a53c;11;ExpSection.TaskSection.task_page_4;task_page_4;1641830012.9655998;1641830017.6548629;4.689263105392456;open;open;forward;task_page_3;task_page_5;True;False;False;False
